Unnamed: 0,neighbourhood_group_cleansed,property_type,room_type,bedrooms,price,minimum_nights_avg_ntm,instant_bookable,property_type_group,review_score,review_score_porcent,occupancy_rate,bedroom_occupancy_percent,min_nights_percent_year
1879,Hortaleza,Private room in hostel,Private room,1.0,75.0,1.0,True,Room,3,0.55,0.32,0.77,0.0
1880,Centro,Entire rental unit,Entire home/apt,2.0,151.0,4.6,True,Floor,4,0.78,0.49,0.92,0.01
1881,Fuencarral - El Pardo,Private room in rental unit,Private room,2.0,35.0,4.0,False,Room,4,0.63,0.52,0.93,0.01
1882,Latina,Private room in rental unit,Private room,1.0,29.0,2.0,False,Room,3,0.46,0.49,0.86,0.01
1883,Centro,Private room in rental unit,Private room,1.0,65.0,3.0,False,Room,4,0.74,0.39,0.92,0.01
1884,Centro,Entire rental unit,Entire home/apt,1.0,93.0,30.0,False,House,3,0.41,0.63,0.85,0.08
1885,Centro,Entire rental unit,Entire home/apt,1.0,99.0,5.0,False,House,3,0.54,0.75,0.82,0.01
1886,Centro,Entire rental unit,Entire home/apt,3.0,203.0,2.4,False,House,2,0.3,0.41,0.8,0.01
1887,ChamberÃ­,Private room in rental unit,Private room,1.0,94.0,2.0,False,Room,2,0.3,0.66,0.85,0.01
1888,Centro,Entire rental unit,Entire home/apt,1.0,103.0,5.2,True,Floor,5,0.95,0.32,0.4,0.01
1889,Carabanchel,Private room in rental unit,Private room,1.0,30.0,7.0,False,Room,3,0.48,0.33,0.81,0.02
1890,Centro,Private room in rental unit,Private room,1.0,38.0,1.0,True,Room,2,0.24,0.49,0.93,0.0
1891,Arganzuela,Entire rental unit,Entire home/apt,2.0,91.0,2.1,True,House,5,0.93,0.53,0.99,0.01
1892,Centro,Entire place,Entire home/apt,1.0,73.0,2.8,False,House,4,0.76,0.32,0.86,0.01
1893,Centro,Entire rental unit,Entire home/apt,2.0,153.0,3.0,False,Floor,1,0.19,0.48,0.89,0.01
1894,San Blas - Canillejas,Entire condo,Entire home/apt,1.0,85.0,1.7,False,House,3,0.47,0.6,0.97,0.0
1895,Centro,Entire rental unit,Entire home/apt,1.0,86.0,4.2,True,Floor,3,0.54,0.32,0.57,0.01
1896,Retiro,Entire rental unit,Entire home/apt,2.0,179.0,3.0,False,Floor,5,0.96,0.52,0.63,0.01
1897,Centro,Entire rental unit,Entire home/apt,1.0,116.0,3.8,True,Floor,4,0.7,0.9,0.65,0.01
1898,Centro,Entire rental unit,Entire home/apt,1.0,130.0,4.7,False,House,1,0.19,0.9,0.87,0.01
1899,ChamberÃ­,Private room in rental unit,Private room,1.0,55.0,2.0,False,Room,1,0.16,0.33,0.88,0.01
1900,Centro,Entire loft,Entire home/apt,0.0,73.0,4.8,True,Floor,4,0.64,0.9,0.31,0.01
1901,Centro,Entire rental unit,Entire home/apt,1.0,130.0,2.0,False,Floor,1,0.12,0.62,0.86,0.01
1902,TetuÃ¡n,Entire rental unit,Entire home/apt,2.0,120.0,2.0,True,House,5,0.9,0.92,0.75,0.01
1903,Centro,Entire rental unit,Entire home/apt,1.0,102.0,4.6,False,Floor,3,0.46,0.33,0.83,0.01
1904,Centro,Private room in rental unit,Private room,1.0,29.0,3.0,False,Room,4,0.64,0.74,0.51,0.01
1905,Centro,Entire rental unit,Entire home/apt,3.0,141.0,120.0,True,Floor,4,0.71,0.59,0.89,0.33
1906,Centro,Entire rental unit,Entire home/apt,2.0,105.0,49.9,True,House,4,0.78,0.38,0.58,0.14
1907,Centro,Entire rental unit,Entire home/apt,1.0,110.0,1.0,True,Floor,2,0.36,0.86,0.89,0.0
1908,Retiro,Private room in rental unit,Private room,1.0,31.0,7.0,False,Room,5,0.84,0.88,0.83,0.02
1909,Centro,Entire rental unit,Entire home/apt,1.0,155.0,1.3,True,House,5,0.97,0.86,0.34,0.0
1910,Centro,Entire rental unit,Entire home/apt,1.0,116.0,4.7,False,Floor,1,0.05,0.55,0.33,0.01
1911,Salamanca,Entire condo,Entire home/apt,2.0,153.0,4.7,False,House,2,0.37,0.46,0.83,0.01
1912,Centro,Entire rental unit,Entire home/apt,1.0,66.0,50.3,False,House,5,0.99,0.47,0.81,0.14
1913,Centro,Entire rental unit,Entire home/apt,4.0,413.0,4.6,False,Floor,4,0.7,0.71,0.9,0.01
